Название кондиционера,Цена
Oasis OT-7N (Серия OT),15 000
NEWTEK 65S07+ (Серия S),15 000
Centek 65E07+ (Серия CT-65E),16 000
Centek CT-65A07 (Серия CT-65A),16 000
AUX ASW-H07A4/FJ-(W/S/B) (Серия FJ),16 700
Dantex RK-07ENT2 (Серия ECO-2),16 700
Lessar LS-H07KPA2/LU-H07KPA2 (Серия Cool+),17 000
Rapid RAC-09HJ/N118Y (Серия RAC),17 000
Hyundai H-AR19-07H (Серия Seoul),17 100
Halsen HM-9 (Серия HM),17 200
Dantex RK-09SPG (Серия PLASMA),17 300
Centek 65E09 (Серия CT-65E),17 500
NEWTEK 65S09 (Серия S),17 500
Centek CT-65A09 (Серия CT-65A),17 500
TCL TAC-09HRA/EW (Серия ELITE ICE),17 500
IGC RAS/RAC-09NHM (Серия Mild),17 500
Сплит-система Zerten BL-12,17 500
Carrier 42QHA007N/38QHA007N (Серия QHA_N),17 600
AUX ASW-H07A4/LK-700R1 (Серия LK),17 700
Energolux SAS07D1-A/SAU07D1-A (Серия DAVOS),17 800
Hyundai H-AR18-07H (Серия AURORA),17 900
Ballu BSD-07HN1 (Серия Lagoon),17 900
Dantex RK-09ENT2 (Серия ECO-2),17 900
General Climate GU-А09HR (Серия Astra),18 100
Ballu BSW-07HN1/OL_17Y (Серия Olympio),18 300
Royal Clima RC-TWS21HN (Серия TRIUMPH ),18 800
AUX ASW-H09A4/FJ-(W/S/B) (Серия FJ),18 900
Ballu BSAG-07HN1-17Y (Серия iGreen Pro),18 900
Energolux SAS09D1-A/SAU09D1-A (Серия DAVOS),18 900
Akvilon NL-09 (Серия NL),18 900
GREEN GRI/GRO-07 HH2 (Серия HH2),18 900
Carrier 42QHA009N/38QHA009N (Серия QHA_N),18 900
AUX ASW-H09A4/LK-700R1 (Серия LK),19 000
Centek CT-65L07+ (Серия CT-65L),19 000
Сплит-система Ballu BSA-07HN1-15Y (Серия i Green),19 000
Hisense AS-07HR4SYDTG035 (Серия NEO Premium Classic A),19 100
Сплит-система AIRWELL AW-HFD007-N11/AW-YHFD007-H11 (Серия HFD),19 200
Hyundai H-AR19-09H (Серия Seoul),19 300
Ballu BSD-09HN1 (Серия Lagoon),19 300
Lessar LS-H09KOA2/LU-H09KOA2 (Серия Rational),19 500
Royal Clima RC-TWX25HN (Серия TRIUMPH ),19 500
IGC RAS-07NHG (Серия Comfort),19 500
Ballu BSW-09HN1/OL_17Y (Серия Olympio),19 700
Royal Clima RC-VNR24HN (Серия VELA),19 700
Hyundai H-AR18-09H (Серия AURORA),19 800
Royal Clima RC-TWS25HN (Серия TRIUMPH ),19 900
TCL TAC-09HRA/ES (Серия ELITE ART),19 900
Cплит-система Lessar LS-H07KLA2A/LU-H07KLA2A (Серия Rational),19 900
Hisense AS-07HR4SYDDL03G (Серия BASIC A),20 000
Ballu BSAG-09HN1-17Y (Серия iGreen Pro),20 000
Oasis OT-12N (Серия OT),20 000
Сплит система Oasis ET-7 (Серия ET),20 000
Royal Clima RC-G25HN (Серия GLORIA),20 100
AERONIK ASI-07HS4/ASO-07HS4 (Серия SUPER),20 200
Toshiba RAS-07U2KHS/RAS-07U2AHS-EE (Серия U2KHS),20 300
Lessar LS-H12KOA2/LU-H12KOA2 (Серия Rational),20 400
